molecule,energy_eV,sigma_a0_2
Ethanal,25.0,11.687763463179667
Ethanal,25.75,12.116307663401098
Ethanal,26.5,12.540357126391553
Ethanal,27.25,12.964406589382008
Ethanal,28.0,13.388456052372465
Ethanal,28.75,13.81250551536292
Ethanal,29.5,14.23220702060773
Ethanal,30.25,14.591037117413485
Ethanal,31.0,14.901730517373993
Ethanal,31.75,15.208985581845555
Ethanal,32.5,15.516240646317115
Ethanal,33.25,15.823495710788675
Ethanal,34.0,16.130750775260235
Ethanal,34.75,16.431654831240504
Ethanal,35.5,16.713323121727402
Ethanal,36.25,16.983483213289286
Ethanal,37.0,17.253643304851174
Ethanal,37.75,17.523803396413054
Ethanal,38.5,17.79396348797494
Ethanal,39.25,18.064123579536822
Ethanal,40.0,18.345808789970633
Ethanal,40.75,18.643001183139916
Ethanal,41.5,18.94486481293003
Ethanal,42.25,19.246728442720144
Ethanal,43.0,19.548592072510253
Ethanal,43.75,19.850455702300366
Ethanal,44.5,20.152319332090478
Ethanal,45.25,20.3850470659419
Ethanal,46.0,20.574396079706542
Ethanal,46.75,20.756035667868414
Ethanal,47.5,20.937675256030285
Ethanal,48.25,21.119314844192157
Ethanal,49.0,21.30095443235403
Ethanal,49.75,21.482594020515897
Ethanal,50.5,21.597872987744765
Ethanal,51.25,21.69620956325405
Ethanal,52.0,21.792097751337092
Ethanal,52.75,21.88798593942013
Ethanal,53.5,21.983874127503167
Ethanal,54.25,22.079790026678598
Ethanal,55.0,22.175833948683092
Ethanal,55.75,22.272118369120435
Ethanal,56.5,22.368402789557777
Ethanal,57.25,22.46468720999512
Ethanal,58.0,22.560971630432462
Ethanal,58.75,22.657256050869808
Ethanal,59.5,22.75147570144491
Ethanal,60.25,22.83572165089793
Ethanal,61.0,22.901057097946964
Ethanal,61.75,22.966392544995998
Ethanal,62.5,23.031727992045028
Ethanal,63.25,23.09706343909406
Ethanal,64.0,23.16239888614309
Ethanal,64.75,23.227734333192124
Ethanal,65.5,23.27462856735707
Ethanal,66.25,23.30023198563582
Ethanal,67.0,23.325405115877242
Ethanal,67.75,23.350578246118662
Ethanal,68.5,23.375751376360085
Ethanal,69.25,23.400924506601505
Ethanal,70.0,23.426996158527583
Ethanal,70.75,23.454059578151337
Ethanal,71.5,23.481506566413348
Ethanal,72.25,23.508953554675358
Ethanal,73.0,23.53640054293737
Ethanal,73.75,23.563847531199382
Ethanal,74.5,23.591294519461393
Ethanal,75.25,23.634077699696004
Ethanal,76.0,23.68299532155983
Ethanal,76.75,23.732856703674297
Ethanal,77.5,23.782718085788765
Ethanal,78.25,23.832579467903237
Ethanal,79.0,23.882440850017705
Ethanal,79.75,23.92144744123645
Ethanal,80.5,23.915589291083098
Ethanal,81.25,23.889493051880677
Ethanal,82.0,23.863396812678253
Ethanal,82.75,23.83730057347583
Ethanal,83.5,23.81120433427341
Ethanal,84.25,23.78546055605438
Ethanal,85.0,23.78304517503503
Ethanal,85.75,23.815159784774487
Ethanal,86.5,23.84727439451394
Ethanal,87.25,23.87938900425339
Ethanal,88.0,23.911503613992846
Ethanal,88.75,23.943618223732297
Ethanal,89.5,23.97573283347175
Ethanal,90.25,23.99938584879307
Ethanal,91.0,24.014861967561046
Ethanal,91.75,24.027439990777108
Ethanal,92.5,24.04001801399317
Ethanal,93.25,24.052596037209234
Ethanal,94.0,24.065174060425296
Ethanal,94.75,24.07775208364136
Ethanal,95.5,24.078781595742168
Ethanal,96.25,24.07460061595415
Ethanal,97.0,24.06925795411113
Ethanal,97.75,24.063915292268106
Ethanal,98.5,24.058572630425083
Ethanal,99.25,24.053229968582063
Ethanal,100.0,24.047887306739035
Propanal,25.0,16.934360381980035
Propanal,25.75,17.481789386594002
Propanal,26.5,18.01734338965925
Propanal,27.25,18.552897392724496
Propanal,28.0,19.088451395789743
Propanal,28.75,19.62400539885499
Propanal,29.5,20.156435006252654
Propanal,30.25,20.645123074304156
Propanal,31.0,21.080741567408797
Propanal,31.75,21.512569376588658
Propanal,32.5,21.94439718576852
Propanal,33.25,22.376224994948384
Propanal,34.0,22.808052804128245
Propanal,34.75,23.217017127691765
Propanal,35.5,23.55673313450686
Propanal,36.25,23.8550198878494
Propanal,37.0,24.153306641191943
Propanal,37.75,24.451593394534484
Propanal,38.5,24.749880147877025
Propanal,39.25,25.04816690121957
Propanal,40.0,25.341994922189844
Propanal,40.75,25.62876745977384
Propanal,41.5,25.91162041886476
Propanal,42.25,26.194473377955678
Propanal,43.0,26.477326337046595
Propanal,43.75,26.760179296137515
Propanal,44.5,27.043032255228432
Propanal,45.25,27.301079941275262
Propanal,46.0,27.540320651525384
Propanal,46.75,27.773957564910177
Propanal,47.5,28.007594478294973
Propanal,48.25,28.24123139167976
Propanal,49.0,28.474868305064554
Propanal,49.75,28.702774654550115
Propanal,50.5,28.904499293783037
Propanal,51.25,29.102195977592476
Propanal,52.0,29.29989266140191
Propanal,52.75,29.497589345211345
Propanal,53.5,29.695286029020785
Propanal,54.25,29.89260876244208
Propanal,55.0,30.087061509951937
Propanal,55.75,30.262275676437717
Propanal,56.5,30.437489842923497
Propanal,57.25,30.61270400940927
Propanal,58.0,30.787918175895047
Propanal,58.75,30.963132342380828
Propanal,59.5,31.132012882361973
Propanal,60.25,31.284503086740266
Propanal,61.0,31.418046077542293
Propanal,61.75,31.551589068344324
Propanal,62.5,31.68513205914635
Propanal,63.25,31.81867504994838
Propanal,64.0,31.952218040750406
Propanal,64.75,32.08260036179929
Propanal,65.5,32.203517765156676
Propanal,66.25,32.31602624905953
Propanal,67.0,32.42853473296239
Propanal,67.75,32.54104321686524
Propanal,68.5,32.6535517007681
Propanal,69.25,32.766060184670955
Propanal,70.0,32.87828900188626
Propanal,70.75,32.97433630148297
Propanal,71.5,33.06232780060633
Propanal,72.25,33.150319299729695
Propanal,73.0,33.23831079885306
Propanal,73.75,33.32630229797642
Propanal,74.5,33.41429379709978
Propanal,75.25,33.501594608212855
Propanal,76.0,33.58845768581712
Propanal,76.75,33.67525341980463
Propanal,77.5,33.76204915379215
Propanal,78.25,33.84884488777966
Propanal,79.0,33.935640621767185
Propanal,79.75,34.020500068886335
Propanal,80.5,34.09747377162314
Propanal,81.25,34.172479117636286
Propanal,82.0,34.24748446364943
Propanal,82.75,34.32248980966257
Propanal,83.5,34.39749515567571
Propanal,84.25,34.47250050168886
Propanal,85.0,34.52555391663026
Propanal,85.75,34.535295094280066
Propanal,86.5,34.516479335048935
Propanal,87.25,34.497663575817796
Propanal,88.0,34.47884781658666
Propanal,88.75,34.46003205735552
Propanal,89.5,34.44121629812438
Propanal,90.25,34.45128542469629
Propanal,91.0,34.482170834702615
Propanal,91.75,34.51483875087929
Propanal,92.5,34.54750666705597
Propanal,93.25,34.58017458323264
Propanal,94.0,34.612842499409325
Propanal,94.75,34.645510415586
Propanal,95.5,34.650441657593035
Propanal,96.25,34.64082471655193
Propanal,97.0,34.627400768257964
Propanal,97.75,34.613976819963995
Propanal,98.5,34.600552871670025
Propanal,99.25,34.58785647648577
Propanal,100.0,34.57988917651461
Butanal,25.0,21.181113394526264
Butanal,25.75,21.940621850138353
Butanal,26.5,22.68854711326212
Butanal,27.25,23.43647237638589
Butanal,28.0,24.184397639509655
Butanal,28.75,24.932322902633423
Butanal,29.5,25.66648057858204
Butanal,30.25,26.207892034078537
Butanal,31.0,26.652210897119282
Butanal,31.75,27.08959457498462
Butanal,32.5,27.526978252849958
Butanal,33.25,27.96436193071529
Butanal,34.0,28.40174560858063
Butanal,34.75,28.84663513261361
Butanal,35.5,29.314787170329666
Butanal,36.25,29.79997854673902
Butanal,37.0,30.285169923148377
Butanal,37.75,30.770361299557738
Butanal,38.5,31.255552675967095
Butanal,39.25,31.738967006004717
Butanal,40.0,32.19219013842467
Butanal,40.75,32.61226298508861
Butanal,41.5,33.03233583175256
Butanal,42.25,33.4524086784165
Butanal,43.0,33.87248152508044
Butanal,43.75,34.29255437174438
Butanal,44.5,34.710551284322506
Butanal,45.25,35.05285260453932
Butanal,46.0,35.3575656203362
