seed,molecule,mape_percent,max_percent_difference,energy_at_max_error_eV
1,Ethanal,12.811449410004329,14.400148582297506,49.75
1,Propanal,5.271099506472624,7.778466079519345,85.0
1,3-Methylbutan-2-one,8.354739460421266,11.690069398000677,25.0
1,Molecular Nitrogen,44.11415472831416,81.79042750789861,26.5
1,Ethanol,11.318795873392157,24.489433302119508,100.0
2,Ethanal,11.869262421216389,14.254792385236655,51.25
2,Propanal,3.6101758228159198,5.791063650702861,85.0
2,3-Methylbutan-2-one,8.796620865960685,12.117312422871061,25.0
2,Molecular Nitrogen,31.533413261943693,98.5855465876053,26.5
2,Ethanol,12.673011048389782,27.600079614806567,100.0
3,Ethanal,27.307200974911318,28.45300831062255,60.25
3,Propanal,7.5167591366391004,10.27646937937194,85.0
3,3-Methylbutan-2-one,8.95399841915529,12.647862570242172,25.0
3,Molecular Nitrogen,58.18748586592715,86.81076878043429,31.0
3,Ethanol,21.989384633038163,37.17478326251985,100.0
4,Ethanal,11.68138214206492,13.434701837841423,51.25
4,Propanal,3.5257678289604675,6.030810749853204,85.75
4,3-Methylbutan-2-one,8.817057964624368,12.475965492770005,25.0
4,Molecular Nitrogen,33.35412520884927,99.06067294011726,27.25
4,Ethanol,12.920052166080165,26.221888028232236,100.0
5,Ethanal,11.89656350756141,14.347966983890778,49.75
5,Propanal,3.623260528380864,5.79566899176708,85.0
5,3-Methylbutan-2-one,8.791604400921692,12.09646023535868,25.0
5,Molecular Nitrogen,31.878427207772713,97.83790490067949,26.5
5,Ethanol,12.655351408280815,27.650596222844815,100.0
6,Ethanal,13.655765370937699,15.720480051978974,50.5
6,Propanal,4.823479484017579,7.097130076056306,85.0
6,3-Methylbutan-2-one,8.645632578495979,12.885503898943535,25.0
6,Molecular Nitrogen,138.66574869111162,379.4004978192857,25.0
6,Ethanol,12.784834088129685,27.133394733037537,100.0
7,Ethanal,11.871858732444446,14.313997954193184,49.75
7,Propanal,3.61370228336349,5.785564588049108,85.0
7,3-Methylbutan-2-one,8.794402630040482,12.09769959206529,25.0
7,Molecular Nitrogen,31.705310033171422,99.3008798888414,26.5
7,Ethanol,12.6606814395727,27.669015615524557,100.0
8,Ethanal,12.124598376296024,13.675055990407714,49.75
8,Propanal,3.689667933920595,6.303277536581015,85.0
8,3-Methylbutan-2-one,8.756345625799119,12.45750463919091,25.0
8,Molecular Nitrogen,38.91687236587866,73.09617868093856,25.0
8,Ethanol,12.786430155914324,25.713077742451844,100.0
9,Ethanal,12.48277727373918,14.968050682882438,49.75
9,Propanal,3.8482282188058394,5.990732879270409,85.0
9,3-Methylbutan-2-one,8.72168219340529,12.024215280678547,25.0
9,Molecular Nitrogen,34.70619455275182,86.84900666753802,27.25
9,Ethanol,12.539157953855593,27.422607338095933,100.0
10,Ethanal,25.46102793982526,26.84683236910953,59.5
10,Propanal,7.648370336047319,10.081152103700527,85.0
10,3-Methylbutan-2-one,9.035616095627548,13.031559013262317,25.0
10,Molecular Nitrogen,74.3251135542041,117.01812578809714,25.75
10,Ethanol,20.723682738467144,36.189078177741166,100.0
11,Ethanal,18.85501122058808,20.166429492582594,60.25
11,Propanal,5.909863090201977,8.474454949335385,85.0
11,3-Methylbutan-2-one,8.371887402882104,12.257249981967574,25.0
11,Molecular Nitrogen,53.81165949188909,68.17713427515044,97.0
11,Ethanol,12.423691586506328,25.753637562277998,100.0
12,Ethanal,11.895893371363838,14.347023644112888,49.75
12,Propanal,3.6230338776142026,5.795615353410486,85.0
12,3-Methylbutan-2-one,8.791702118673722,12.096603884267415,25.0
12,Molecular Nitrogen,31.872538417100625,97.86574697391198,26.5
12,Ethanol,12.655461465746303,27.650457777172026,100.0
13,Ethanal,12.784227092891536,15.190957646559625,49.75
13,Propanal,3.9662222268916283,6.1392957475939065,85.0
13,3-Methylbutan-2-one,8.685683334317579,11.97951131914547,25.0
13,Molecular Nitrogen,35.150070023331786,79.94379085201939,25.75
13,Ethanol,12.490126135349058,27.371885783429317,100.0
14,Ethanal,10.950780348474373,12.660341006769674,50.5
14,Propanal,3.2777861733752194,5.958050593815915,85.75
14,3-Methylbutan-2-one,8.859548010756944,12.264516594229313,25.0
14,Molecular Nitrogen,27.079423945767356,69.2609217326081,31.75
14,Ethanol,12.688694664610347,26.246773287432458,100.0
15,Ethanal,16.608850241067,17.813332214748606,61.0
15,Propanal,5.740102811929636,8.497650262385385,85.0
15,3-Methylbutan-2-one,8.624293834130276,12.184622374458364,25.0
15,Molecular Nitrogen,10.596994199831856,34.15812663635986,34.75
15,Ethanol,10.493642338470593,21.49167134770612,100.0
16,Ethanal,12.960432194003072,14.790961570742917,49.75
16,Propanal,4.854701857842443,7.181599310485404,85.0
16,3-Methylbutan-2-one,8.481650246128305,11.81857665683409,25.0
16,Molecular Nitrogen,14.6522749092515,33.05084848144026,45.25
16,Ethanol,11.484341087221358,25.142381384194728,100.0
17,Ethanal,11.719812750663769,13.175195005956514,50.5
17,Propanal,3.550964610744961,6.26596869211454,85.0
17,3-Methylbutan-2-one,8.784169340338389,12.429265003282323,25.0
17,Molecular Nitrogen,40.34311144218394,98.23300559372173,29.5
17,Ethanol,12.70091013451076,25.85563103182581,100.0
18,Ethanal,11.801883758142678,13.722823095665282,50.5
18,Propanal,3.588571126901796,6.096788711879705,85.0
18,3-Methylbutan-2-one,8.812885554272539,12.684966195347045,25.0
18,Molecular Nitrogen,33.48181348351245,91.57182696764798,28.0
18,Ethanol,12.899993678366764,26.617808392718523,99.25
19,Ethanal,11.813791912404497,14.193410540542429,50.5
19,Propanal,3.582728747869109,5.772436165103935,85.75
19,3-Methylbutan-2-one,8.809442275351653,12.219138784689934,25.0
